Experiment,Acid_Type,Acid_Params,Initial_pH,Target_pH,Final_pH,Steps_Taken,Success
1437,monoprotic,2.50,1.77,2.74,2.65,5,Yes
1438,diprotic,"[2.61769004388601, 6.779621944760976]",2.24,9.37,9.36,14,Yes
1439,diprotic,"[3.7742946453012527, 6.218300152051773]",1.88,8.71,8.75,13,Yes
1440,diprotic,"[3.7037122212406413, 5.010498724415736]",1.77,2.56,2.63,3,Yes
1441,monoprotic,5.64,1.73,7.99,8.07,10,Yes
1442,triprotic,"[2.7838542575411642, 4.41972556898101, 6.547128813444184]",2.30,2.17,2.08,17,Yes
1443,monoprotic,4.41,3.29,5.71,3.15,50,No
1444,triprotic,"[2.808044647430842, 4.856111384234983, 6.318659823888831]",1.60,5.85,5.76,9,Yes
1445,diprotic,"[2.70183079047231, 6.3453914769697315]",1.97,2.01,1.91,8,Yes
1446,monoprotic,3.57,1.98,4.65,4.64,4,Yes
1447,monoprotic,3.32,1.81,4.63,4.53,3,Yes
1448,monoprotic,2.26,2.12,6.08,6.07,20,Yes
1449,diprotic,"[2.6866339635962486, 6.257991550527334]",2.05,5.15,5.22,4,Yes
1450,diprotic,"[2.3299520135129477, 4.058331331549352]",1.69,7.57,7.49,22,Yes
1451,monoprotic,4.03,1.65,7.64,7.73,17,Yes
1452,triprotic,"[2.5177494060074856, 4.084425619588061, 6.03543420825235]",1.74,10.58,10.63,9,Yes
1453,monoprotic,4.34,1.82,9.99,9.91,12,Yes
1454,monoprotic,2.99,3.40,6.04,6.04,23,Yes
1455,diprotic,"[3.856806164989357, 4.749883509994291]",1.94,4.88,4.81,10,Yes
1456,triprotic,"[2.851196149724289, 5.052495151470117, 7.141833951234618]",3.48,8.78,4.70,50,No
1457,diprotic,"[2.997195901733213, 4.172388627786408]",2.47,9.68,9.66,14,Yes
1458,triprotic,"[2.100743201453853, 5.991931010000953, 6.5776075296446495]",2.35,2.47,1.97,50,No
1459,monoprotic,5.75,2.24,8.20,8.18,11,Yes
1460,triprotic,"[3.3127067850196807, 5.597387586684637, 7.566593379667416]",2.17,10.28,10.32,7,Yes
1461,triprotic,"[2.7292726445021556, 5.230581818820594, 7.617330862111801]",2.12,2.22,2.13,19,Yes
1462,diprotic,"[2.279643153620933, 4.040086726450313]",1.85,5.61,5.64,9,Yes
1463,monoprotic,5.25,2.07,3.08,3.02,9,Yes
1464,monoprotic,2.22,2.39,4.17,4.14,21,Yes
1465,diprotic,"[3.6678495866563576, 5.067691653658587]",2.83,8.16,8.09,18,Yes
1466,triprotic,"[2.583882351991736, 5.958018378095142, 6.173902216280789]",1.77,7.49,7.46,8,Yes
1467,triprotic,"[2.971287794346213, 5.502857781312196, 7.026689833446924]",2.48,6.22,6.12,8,Yes
1468,diprotic,"[2.9922333090910946, 5.135611755300452]",2.06,2.37,2.31,2,Yes
1469,triprotic,"[2.3237854752183145, 4.353430109465038, 6.549842603300669]",3.48,9.79,3.10,50,No
1470,triprotic,"[2.467342909538833, 4.9985767341434375, 7.599386335551209]",3.40,2.47,2.39,12,Yes
1471,diprotic,"[2.958310063409844, 6.994642650452305]",1.98,2.25,2.16,1,Yes
1472,diprotic,"[3.5949590841037375, 5.591086037749463]",1.95,3.98,3.90,5,Yes
1473,diprotic,"[3.4827474440054806, 4.7121226169168455]",1.95,4.29,4.22,8,Yes
1474,triprotic,"[3.0519010653547616, 5.699931312891005, 7.464250151544402]",2.31,5.78,5.70,7,Yes
1475,triprotic,"[3.421001435789342, 4.967944651862421, 6.35807701646144]",1.95,2.82,2.91,1,Yes
1476,monoprotic,4.57,1.90,10.98,10.89,7,Yes
1477,monoprotic,5.81,2.23,9.24,9.17,12,Yes
1478,diprotic,"[3.087707092453819, 4.11685322738724]",2.08,7.57,7.54,25,Yes
1479,diprotic,"[2.6657532203698704, 6.405324383300684]",1.69,8.60,8.65,11,Yes
1480,triprotic,"[2.9730209666647838, 4.562895101066177, 6.812068156625404]",1.61,3.01,2.91,4,Yes
1481,monoprotic,4.27,2.38,4.16,4.14,1,Yes
1482,diprotic,"[3.689011223759887, 5.679526897973876]",2.24,7.03,6.95,5,Yes
1483,diprotic,"[2.800784061715583, 4.562325493999239]",2.48,3.64,3.56,6,Yes
1484,triprotic,"[2.8380017732854634, 5.61794266226555, 6.404457451403251]",2.85,6.11,6.03,12,Yes
1485,monoprotic,3.82,2.97,5.85,5.82,11,Yes
1486,diprotic,"[3.9241086840840924, 6.0798089562413695]",1.67,2.84,2.84,4,Yes
1487,diprotic,"[3.2645546798944793, 4.366412839580967]",2.70,7.34,7.40,11,Yes
1488,monoprotic,4.17,2.06,6.69,6.73,8,Yes
1489,diprotic,"[2.5862644784449813, 4.61504459271805]",2.13,7.82,7.86,21,Yes
1490,diprotic,"[3.2513381052127373, 4.972875181986453]",1.99,5.08,5.02,8,Yes
1491,monoprotic,2.62,2.08,4.33,4.23,7,Yes
1492,triprotic,"[2.106721991928295, 5.484274969321036, 6.335823088695996]",1.80,4.49,4.53,4,Yes
1493,triprotic,"[2.9508399483389978, 4.249584846111909, 7.335970452550065]",2.12,4.56,4.49,9,Yes
1494,monoprotic,5.83,2.23,10.16,10.25,8,Yes
1495,triprotic,"[3.6083088137208117, 4.595123402346384, 7.696980518509609]",1.73,4.67,4.58,9,Yes
1496,triprotic,"[2.8455470023507563, 5.265529136124451, 6.629530885086721]",3.10,9.56,9.49,13,Yes
1497,triprotic,"[2.9181129133088834, 4.757898387736729, 7.081676834530186]",2.35,3.84,3.76,6,Yes
1498,diprotic,"[3.352882272764015, 5.600977108175931]",2.64,7.44,7.38,8,Yes
1499,diprotic,"[3.6483129876769214, 4.980996923162551]",2.04,2.09,2.18,10,Yes
1500,diprotic,"[2.198380309875348, 5.778301116993654]",2.29,8.57,8.49,11,Yes
1501,monoprotic,3.80,2.06,10.61,10.55,11,Yes
1502,diprotic,"[3.278462459199297, 4.791979174683795]",1.66,7.51,7.53,16,Yes
1503,monoprotic,3.02,2.30,6.26,6.29,21,Yes
1504,monoprotic,3.30,1.93,8.92,8.91,20,Yes
1505,diprotic,"[2.271207054901672, 5.452841310402121]",1.96,10.70,10.74,9,Yes
1506,diprotic,"[2.914457730245896, 4.160237490324253]",2.08,10.26,10.34,14,Yes
1507,diprotic,"[2.183597744719692, 5.694533354225895]",2.13,9.80,9.72,6,Yes
1508,diprotic,"[3.648538502975399, 6.166059812065136]",1.72,2.08,2.14,8,Yes
1509,diprotic,"[3.256122085385247, 5.727260027138201]",1.82,2.51,2.60,2,Yes
1510,triprotic,"[3.2047910142207203, 5.656130715698405, 7.152278485148283]",2.32,5.72,5.63,7,Yes
1511,diprotic,"[3.4881421236885535, 6.321888852561603]",2.31,6.29,6.21,6,Yes
1512,diprotic,"[2.7962889764432974, 5.399724314938091]",2.48,5.12,5.06,6,Yes
1513,triprotic,"[2.901063935575208, 5.140040464768639, 7.816118750266942]",3.12,8.47,8.41,9,Yes
1514,triprotic,"[2.393553543995637, 4.61223859361227, 6.9135784819321575]",2.17,5.00,4.94,8,Yes
1515,triprotic,"[3.5773916553335487, 5.810791817325588, 6.467369624731307]",2.36,4.22,4.12,5,Yes
1516,triprotic,"[3.99186839007617, 5.661550196602404, 6.254795239380494]",2.47,5.68,5.60,10,Yes
1517,monoprotic,2.60,1.79,2.27,2.18,3,Yes
1518,diprotic,"[3.3066932429649114, 6.160899831697761]",2.47,9.04,9.04,13,Yes
1519,monoprotic,5.98,2.36,5.20,5.24,5,Yes
1520,diprotic,"[2.4161388435800655, 6.42983265216677]",1.69,4.94,4.90,6,Yes
1521,triprotic,"[3.080977135805929, 5.85278081787763, 6.4114996544392255]",1.69,6.69,6.61,14,Yes
1522,diprotic,"[2.0226089065965827, 6.588305599826956]",1.87,9.73,9.82,12,Yes
1523,triprotic,"[2.546046048741052, 4.188714221540085, 6.385226692298268]",1.70,6.24,6.16,8,Yes
1524,triprotic,"[3.2657304545868047, 4.5840287406380895, 6.623942672734968]",2.48,6.78,6.72,10,Yes
1525,monoprotic,3.98,2.34,3.71,3.68,1,Yes
1526,monoprotic,2.64,2.48,4.63,4.70,4,Yes
1527,triprotic,"[3.2013507446785567, 5.629952242088981, 7.7999264328727005]",3.22,4.83,4.73,37,Yes
1528,triprotic,"[2.068503099877226, 4.535903350033342, 6.071738816516238]",1.68,2.09,2.00,5,Yes
1529,monoprotic,5.32,1.72,10.32,10.33,11,Yes
1530,diprotic,"[2.3659147149809945, 4.906623082916496]",2.29,5.02,4.95,7,Yes
1531,diprotic,"[2.4944207542874315, 4.7813414943618735]",1.91,2.28,2.19,4,Yes
1532,monoprotic,3.13,2.16,7.18,7.16,23,Yes
1533,monoprotic,2.70,3.41,7.99,7.66,50,No
1534,triprotic,"[3.6308647061175128, 5.414123494680275, 6.616395180796331]",2.11,4.43,4.37,6,Yes
1535,diprotic,"[2.4900792028363403, 5.567337824213254]",1.84,9.60,9.70,16,Yes
1536,triprotic,"[3.957331866137623, 4.358729322502507, 6.846207919626568]",2.82,8.00,8.05,8,Yes
1537,triprotic,"[2.7443724125242763, 5.450404250409561, 6.671951797419987]",2.28,10.34,10.37,13,Yes
1538,monoprotic,3.89,2.18,6.27,6.23,10,Yes
1539,triprotic,"[3.7417923632189716, 4.8088054643851, 7.401336262187933]",2.12,5.90,5.88,7,Yes
1540,diprotic,"[3.610842996344763, 4.138541535928858]",1.89,8.05,8.02,28,Yes
1541,monoprotic,5.85,2.02,8.97,9.07,21,Yes
1542,diprotic,"[3.573599577068123, 6.250381129644914]",1.67,5.42,5.36,3,Yes
1543,triprotic,"[2.3897852211398645, 5.68441714557978, 7.15409164601476]",2.06,3.13,3.08,6,Yes
1544,triprotic,"[3.253268784386273, 5.8851774460298145, 6.097288090674492]",2.19,10.14,10.15,14,Yes
1545,monoprotic,5.80,1.82,6.46,6.40,1,Yes
1546,diprotic,"[3.0251902339297887, 5.210328486182123]",1.84,10.89,10.99,7,Yes
1547,monoprotic,3.78,2.77,2.80,2.65,50,No
1548,diprotic,"[3.874611527309062, 6.409411087685646]",2.04,6.04,5.98,5,Yes
1549,diprotic,"[2.5097004881341016, 4.470964479488351]",2.02,2.72,2.63,6,Yes
1550,monoprotic,4.83,1.93,2.64,2.65,5,Yes
1551,diprotic,"[3.2013689601882422, 5.123477714961579]",1.76,3.64,3.55,5,Yes
1552,triprotic,"[3.9978864427736633, 4.776363489459697, 6.994008090751228]",3.10,10.57,10.67,8,Yes
1553,diprotic,"[3.136297286111218, 6.622916707598323]",2.81,10.46,10.47,6,Yes
1554,triprotic,"[3.711430839363297, 4.58754383311694, 6.8982789451488]",1.57,10.89,10.90,9,Yes
1555,diprotic,"[3.167387736809392, 5.797992149015781]",2.32,2.15,2.06,2,Yes
1556,diprotic,"[3.037338888115377, 5.82715020709243]",2.10,5.92,5.86,7,Yes
1557,monoprotic,5.32,1.97,4.35,4.36,5,Yes
1558,triprotic,"[3.3603594843545377, 5.02523462223978, 6.311516016210654]",3.22,10.96,11.03,5,Yes
1559,diprotic,"[2.420750532271513, 4.57209769670947]",2.14,8.53,8.50,7,Yes
1560,triprotic,"[2.954709821961742, 4.0560280171859215, 6.224779258746146]",2.48,8.29,8.35,10,Yes
1561,triprotic,"[3.8571279341031106, 5.607500596768459, 7.119367051186405]",2.36,8.22,8.24,8,Yes
1562,monoprotic,2.96,1.77,8.12,8.45,50,No
1563,triprotic,"[3.6090164171909516, 5.783153462901171, 6.204623428687064]",1.96,5.19,5.10,5,Yes
1564,monoprotic,2.17,2.14,5.35,5.28,12,Yes
1565,diprotic,"[3.280394197215684, 6.457133530715282]",1.58,9.69,9.64,13,Yes
1566,monoprotic,5.29,3.24,6.24,6.20,4,Yes
1567,diprotic,"[2.977178796403849, 5.215193439692927]",2.49,9.94,9.99,8,Yes
1568,triprotic,"[2.5893807037551184, 4.147521479144098, 6.142263680240239]",2.42,7.90,7.85,10,Yes
1569,diprotic,"[2.5067900514417043, 6.665356377544162]",1.58,9.06,8.98,7,Yes
1570,triprotic,"[2.442631574518044, 5.469639035863095, 7.517338685559505]",3.03,5.29,5.20,25,Yes
1571,monoprotic,4.62,2.22,9.07,9.10,25,Yes
1572,monoprotic,5.96,1.98,4.22,4.28,7,Yes
1573,diprotic,"[2.31111338198968, 4.264670067645096]",1.67,9.68,9.67,12,Yes
1574,monoprotic,3.34,2.30,3.00,2.92,3,Yes
1575,monoprotic,4.35,1.69,6.25,6.31,8,Yes
1576,triprotic,"[3.0909538621000943, 5.054835922769288, 6.314684274524653]",1.78,2.59,2.60,1,Yes
1577,monoprotic,4.11,1.79,6.95,6.87,20,Yes
1578,monoprotic,5.83,2.48,3.26,3.24,8,Yes
1579,monoprotic,4.69,1.92,10.80,10.81,8,Yes
1580,triprotic,"[3.555389425251186, 4.529399720408857, 6.81723209696416]",3.10,3.12,2.50,50,No
1581,monoprotic,3.11,2.33,7.90,7.79,50,No
1582,monoprotic,2.43,2.03,8.60,8.70,45,Yes
1583,monoprotic,3.76,1.79,6.74,6.80,14,Yes
1584,monoprotic,3.19,2.24,8.43,8.46,18,Yes
1585,triprotic,"[2.59916431007949, 4.353575895102377, 6.202637294124568]",1.87,2.65,2.56,5,Yes
1586,triprotic,"[3.396953488435938, 5.678664984879879, 6.795390137003262]",2.24,9.99,10.04,11,Yes
1587,monoprotic,2.56,3.03,10.01,10.08,13,Yes
1588,triprotic,"[3.9621977656448912, 4.227348180209734, 6.70675794928194]",1.77,5.97,5.87,6,Yes
1589,diprotic,"[3.4795583898419684, 6.89063583080225]",1.73,2.44,2.50,3,Yes
1590,diprotic,"[3.082914088874226, 4.153525362472728]",2.18,9.50,9.40,20,Yes
1591,monoprotic,4.63,1.61,3.40,3.44,4,Yes
1592,monoprotic,2.35,2.08,6.96,6.45,50,No
1593,triprotic,"[3.142439979072762, 4.041825985120541, 7.245570925846387]",1.62,5.68,5.60,6,Yes
1594,monoprotic,5.82,1.71,7.58,7.55,8,Yes
1595,monoprotic,2.71,2.16,6.56,6.47,26,Yes
1596,monoprotic,4.19,2.33,5.51,5.58,3,Yes
1597,diprotic,"[2.385766789426545, 4.299778547493453]",2.12,7.52,7.55,23,Yes
1598,diprotic,"[3.0058574806913514, 5.023435837124768]",2.50,10.88,10.83,10,Yes
1599,monoprotic,4.29,2.04,3.55,3.59,4,Yes
1600,triprotic,"[2.9658851811588662, 4.174647011612573, 6.9070950060771565]",2.13,7.70,7.61,8,Yes
1601,monoprotic,4.07,2.43,2.80,2.73,3,Yes
1602,triprotic,"[2.9386894227385376, 5.559774719330141, 6.065508958251543]",1.87,8.43,8.49,16,Yes
1603,monoprotic,2.99,1.81,5.44,5.44,15,Yes
1604,triprotic,"[3.6937724789997146, 4.966812332944983, 6.343043983458853]",2.45,3.05,3.00,2,Yes
1605,monoprotic,3.62,2.01,7.32,7.35,18,Yes
1606,triprotic,"[2.7769474433047554, 4.83472344844057, 6.983223358020624]",1.58,10.12,10.12,15,Yes
1607,monoprotic,4.21,1.79,2.80,2.78,4,Yes
1608,diprotic,"[2.6647211596977334, 6.181615139441608]",1.92,3.63,3.62,5,Yes
1609,triprotic,"[2.185571381540826, 4.735156729781966, 7.093594763063886]",2.28,3.32,3.29,24,Yes
1610,triprotic,"[2.5111489651159102, 5.1659478789677316, 7.358059756033084]",2.19,10.56,10.66,10,Yes
1611,monoprotic,2.07,2.38,3.21,3.21,24,Yes
1612,monoprotic,5.99,2.41,9.98,10.08,11,Yes
1613,triprotic,"[3.1490690007831703, 4.868245814150048, 7.213134431840814]",2.58,6.35,6.26,6,Yes
1614,diprotic,"[2.174193495995029, 4.931122848272128]",2.31,9.85,9.85,13,Yes
1615,triprotic,"[2.8275970096150975, 5.648567592259941, 6.421523531820719]",1.73,2.14,2.16,1,Yes
1616,monoprotic,5.58,2.37,8.07,8.14,7,Yes
1617,triprotic,"[2.251567215855956, 4.218704212617227, 6.603324785738222]",1.66,10.39,10.48,13,Yes
1618,triprotic,"[3.8881138018239465, 5.27861135118205, 6.5276647409670225]",1.58,7.13,7.06,10,Yes
1619,triprotic,"[2.675706042821826, 5.529564366284632, 6.630783055110477]",2.40,5.17,5.09,5,Yes
1620,monoprotic,5.23,1.69,6.98,6.90,7,Yes
1621,triprotic,"[2.466236377699648, 4.923091130574022, 6.278499863426599]",2.47,2.07,1.97,6,Yes
1622,diprotic,"[2.4456429138452283, 4.801935374915408]",2.03,2.59,2.50,16,Yes
1623,diprotic,"[3.232406969344943, 5.573346172874903]",2.34,6.98,6.97,5,Yes
1624,diprotic,"[3.534905278883902, 5.799812216412968]",2.78,4.74,4.68,5,Yes
1625,triprotic,"[2.8761385810981297, 5.84660941056203, 7.493755586424594]",2.20,4.11,4.11,4,Yes
1626,monoprotic,3.10,1.67,2.68,2.67,1,Yes
1627,monoprotic,3.12,1.65,9.38,9.41,12,Yes
1628,monoprotic,3.05,2.33,6.54,6.50,24,Yes
1629,monoprotic,4.59,2.08,7.33,7.33,12,Yes
1630,triprotic,"[2.482842735064269, 4.630355704829082, 6.2163387558357766]",3.30,10.33,3.54,50,No
1631,monoprotic,4.35,1.88,5.96,6.04,4,Yes
1632,diprotic,"[2.2688515381332515, 4.03758707500064]",2.15,9.60,9.65,13,Yes
1633,monoprotic,2.19,1.99,9.85,9.84,16,Yes
1634,diprotic,"[3.458725959524627, 5.180710367669203]",2.25,9.21,9.16,23,Yes
1635,diprotic,"[2.374532604351261, 4.2349125765339055]",3.47,9.31,3.06,50,No
1636,triprotic,"[2.7699764254083825, 4.293410553957891, 6.3733298942421674]",1.61,4.89,4.81,8,Yes
1637,monoprotic,2.76,2.33,5.95,6.04,20,Yes
1638,monoprotic,4.08,1.73,10.91,10.97,6,Yes
1639,diprotic,"[2.8652600885596784, 5.974575297175198]",1.71,8.63,8.68,7,Yes
1640,diprotic,"[2.6259555830347243, 6.3376633726375955]",1.72,7.63,7.55,6,Yes
1641,diprotic,"[2.3816147902525993, 5.100165526577355]",1.58,4.53,4.44,4,Yes
1642,monoprotic,4.28,1.67,10.34,10.40,13,Yes
1643,monoprotic,5.90,1.85,3.76,3.69,9,Yes
1644,triprotic,"[3.6436126000712545, 4.605125169288994, 7.76340630160181]",1.62,10.33,10.34,11,Yes
1645,monoprotic,4.68,1.65,3.61,3.53,5,Yes
1646,triprotic,"[3.3089840717112025, 5.490352172683771, 6.341496277564331]",1.95,4.96,4.87,5,Yes
1647,triprotic,"[2.7777498216494685, 4.757121807497066, 6.618904523752393]",2.26,9.41,9.48,10,Yes
1648,monoprotic,4.72,3.49,7.70,7.75,17,Yes
1649,triprotic,"[3.7609842992295697, 5.057213955517576, 7.36344301719703]",1.79,2.79,2.81,4,Yes
1650,monoprotic,5.73,1.85,5.67,5.77,4,Yes
1651,monoprotic,5.18,2.31,9.95,9.92,12,Yes
1652,monoprotic,2.26,3.00,10.16,10.22,13,Yes
1653,diprotic,"[3.0384076674916782, 6.263479896508072]",2.45,8.66,8.59,15,Yes
1654,triprotic,"[3.939524426135537, 4.909205476215303, 7.484513321341401]",2.14,4.67,4.59,9,Yes
1655,triprotic,"[3.146380646736395, 4.931446140920448, 6.372035480889369]",1.96,7.96,8.01,8,Yes
1656,monoprotic,5.64,1.92,2.16,2.26,8,Yes
1657,monoprotic,3.50,2.39,5.25,5.33,5,Yes
1658,triprotic,"[3.57884577026187, 5.67457083606214, 6.587296651430925]",2.78,8.98,8.98,16,Yes
1659,diprotic,"[3.9036376205915024, 6.452138633429977]",2.62,7.82,7.81,7,Yes
1660,triprotic,"[3.5264250915744224, 4.0628191789450385, 7.601801167265433]",1.81,2.23,2.22,4,Yes
1661,monoprotic,2.45,3.24,6.89,1.98,50,No
1662,triprotic,"[2.7474158208310175, 5.974383257346933, 6.205200972243333]",2.90,7.62,7.63,10,Yes
1663,monoprotic,3.48,2.29,8.34,8.49,50,No
1664,monoprotic,4.27,1.81,9.80,9.73,11,Yes
1665,diprotic,"[3.864347140818076, 5.039421361444338]",2.02,2.40,2.44,4,Yes
1666,diprotic,"[3.172080072866886, 6.4245701717424275]",2.45,2.58,2.49,16,Yes
1667,diprotic,"[2.513693570021509, 5.76314433587663]",1.62,6.94,6.85,5,Yes
1668,diprotic,"[2.1231083525940715, 5.828146718493]",2.44,8.28,8.26,12,Yes
1669,diprotic,"[2.2825060398788604, 6.521824408163796]",1.93,6.90,6.81,6,Yes
1670,triprotic,"[2.2957468725124635, 5.838033085644414, 6.31976788217296]",2.90,10.05,10.10,15,Yes
1671,triprotic,"[3.1945541884121234, 5.084392077540561, 7.907529365913043]",3.48,8.80,8.72,8,Yes
1672,triprotic,"[2.4940738943908047, 4.439538314631603, 6.727831867747194]",2.21,4.06,3.97,6,Yes
1673,monoprotic,3.80,2.35,2.29,2.35,1,Yes
1674,diprotic,"[2.045341057046202, 6.8520283906315544]",3.33,10.52,10.48,33,Yes
1675,diprotic,"[3.5416633475631865, 4.578139817083127]",1.74,9.48,9.38,13,Yes
1676,diprotic,"[2.758042804282664, 4.041528360808988]",2.46,6.70,6.78,9,Yes
1677,triprotic,"[2.0186198653800362, 5.021080651904012, 7.254700874866756]",2.23,7.59,7.50,9,Yes
1678,triprotic,"[3.318731860636579, 4.068409403731725, 6.445075049581501]",1.75,2.22,2.30,3,Yes
1679,diprotic,"[3.684342781039263, 4.22868305472827]",2.47,6.52,6.42,14,Yes
1680,triprotic,"[3.5787146527290132, 4.117353280883556, 7.178759340313513]",2.32,8.52,8.43,8,Yes
1681,triprotic,"[3.701529912771049, 5.415550307779118, 7.025717116777107]",2.29,8.41,8.38,9,Yes
1682,diprotic,"[3.726527467198748, 4.368696377312487]",3.25,10.18,10.16,11,Yes
1683,triprotic,"[2.919814841567171, 5.234656257216852, 6.534958233401378]",1.72,5.66,5.59,9,Yes
1684,triprotic,"[3.02653249900495, 5.167366544760985, 7.112338113932367]",2.20,5.24,5.19,8,Yes
1685,triprotic,"[2.606652410693233, 4.027357863452551, 6.831062920780241]",1.84,3.99,3.93,9,Yes
1686,diprotic,"[2.1789606245255557, 4.58970149119685]",2.31,7.66,7.62,16,Yes
1687,monoprotic,3.50,1.62,2.03,2.11,8,Yes
1688,diprotic,"[2.5557184932930195, 4.779287307032636]",2.19,8.09,8.01,22,Yes
1689,diprotic,"[3.009496133070697, 5.312305455332529]",1.71,3.07,2.98,4,Yes
1690,triprotic,"[3.235270130523812, 4.9173303456570165, 7.652604597915317]",2.08,5.36,5.29,8,Yes
1691,diprotic,"[2.716579297529237, 6.468650867786606]",3.14,10.75,10.70,9,Yes
1692,monoprotic,4.56,3.01,3.18,3.19,2,Yes
1693,diprotic,"[3.612241789473532, 5.778225990178084]",1.69,8.52,8.49,19,Yes
1694,diprotic,"[2.1601962710610465, 5.061535165808178]",1.91,6.75,6.70,8,Yes
1695,triprotic,"[2.6511856902555024, 5.127899290754513, 6.623043756089203]",1.76,4.71,4.63,5,Yes
1696,triprotic,"[2.830178803384158, 4.707376275577903, 6.671877443436623]",1.68,3.65,3.59,6,Yes
1697,monoprotic,3.44,3.33,7.43,7.44,29,Yes
1698,monoprotic,2.76,1.84,9.08,9.01,22,Yes
1699,triprotic,"[2.6274942097670673, 5.680053093256001, 6.150280940482274]",2.27,7.19,7.13,9,Yes
1700,diprotic,"[2.618135986571991, 5.762042806564049]",1.80,6.03,5.95,7,Yes
1701,diprotic,"[2.612209662213721, 6.851379480882491]",3.05,6.48,6.43,14,Yes
1702,monoprotic,4.64,2.47,4.65,4.64,1,Yes
1703,triprotic,"[2.6276397914153087, 5.902431524834778, 6.000956204024285]",1.93,3.88,3.94,4,Yes
1704,monoprotic,5.87,2.15,9.37,9.44,22,Yes
1705,monoprotic,5.11,2.35,5.28,5.28,1,Yes
1706,triprotic,"[2.0609136178692213, 4.422154278524587, 6.768693175062175]",2.24,7.64,7.56,8,Yes
1707,triprotic,"[2.0405653142270284, 5.8640473137039155, 6.7454860200746145]",2.04,2.94,2.92,22,Yes
1708,triprotic,"[2.7244723409142884, 4.757841900895515, 6.655322592377058]",3.01,5.78,5.04,50,No
1709,monoprotic,2.83,2.32,5.16,5.11,11,Yes
1710,triprotic,"[3.236057503162508, 5.757215262292845, 7.444177765499852]",1.94,3.73,3.65,5,Yes
1711,triprotic,"[3.842755271545321, 5.471477773846948, 6.453478025408113]",1.86,10.87,10.93,9,Yes
1712,triprotic,"[2.3680973765499616, 5.9696073213342356, 6.880943009997523]",1.93,3.18,3.10,5,Yes
1713,monoprotic,5.49,2.06,7.09,7.00,5,Yes
1714,monoprotic,4.86,2.22,7.32,7.42,10,Yes
1715,diprotic,"[3.6587462403785143, 6.980569059083463]",2.05,10.13,10.12,10,Yes
1716,triprotic,"[2.424269391665545, 4.424993494279555, 7.947725455026601]",2.48,9.08,9.04,7,Yes
1717,diprotic,"[2.5384706774994936, 4.916554893031042]",3.38,6.35,1.88,50,No
1718,triprotic,"[2.4308801832836497, 4.145054432284037, 6.7562720918973325]",2.32,3.87,3.79,7,Yes
1719,diprotic,"[2.485467237799505, 5.72513558099814]",2.01,11.00,11.04,7,Yes
1720,triprotic,"[3.665453649616336, 5.9621088463653305, 7.639736077264761]",2.30,2.28,2.29,1,Yes
1721,monoprotic,2.77,2.30,7.43,7.65,50,No
1722,diprotic,"[2.5803018390987384, 6.32347361895034]",2.38,6.73,6.68,7,Yes
1723,monoprotic,3.76,2.45,3.71,3.63,4,Yes
1724,monoprotic,3.72,2.32,2.98,3.06,1,Yes
1725,monoprotic,5.06,1.58,10.89,10.85,9,Yes
1726,diprotic,"[3.0804624387881425, 5.699194199959587]",2.08,8.30,8.25,13,Yes
1727,monoprotic,5.30,2.23,9.30,9.37,20,Yes
1728,diprotic,"[2.0421538022178547, 4.314193115069179]",2.28,7.91,7.98,18,Yes
1729,diprotic,"[2.4869121677714556, 6.275086532908574]",1.85,4.76,4.70,6,Yes
1730,triprotic,"[3.355958323699852, 4.352756182768941, 6.12760590550385]",2.45,10.69,10.78,9,Yes
1731,diprotic,"[2.244371990373895, 4.377605890198884]",2.35,3.83,3.75,27,Yes
1732,triprotic,"[2.2105559162149175, 4.370962125985314, 7.1608792571804445]",3.36,9.51,4.27,50,No
1733,triprotic,"[2.8132952300628045, 5.577844044275711, 6.015135691363478]",2.04,4.02,3.99,4,Yes
1734,diprotic,"[3.593252767340936, 6.295305429132494]",1.66,10.37,10.41,9,Yes
1735,monoprotic,4.24,1.61,10.11,10.02,8,Yes
1736,triprotic,"[3.6131206903575572, 4.315638909350772, 7.245448053533732]",1.70,3.06,3.13,3,Yes
1737,triprotic,"[2.7634717948937526, 4.315998001604951, 7.5075139033449965]",1.86,6.50,6.48,5,Yes
1738,triprotic,"[3.5532223042882944, 4.584687387311175, 6.124081260260704]",1.58,2.64,2.67,4,Yes
1739,monoprotic,4.00,2.29,2.43,2.53,4,Yes
1740,diprotic,"[2.8825684863565595, 4.378304197640968]",3.25,10.04,9.97,13,Yes
1741,triprotic,"[2.0735967325584306, 5.799056678451208, 7.809145065289766]",2.19,6.43,6.36,7,Yes
1742,triprotic,"[2.0880617233052123, 5.591043928675509, 7.391179955705274]",1.95,2.04,1.95,49,Yes
1743,monoprotic,5.12,1.66,4.76,4.80,6,Yes
1744,monoprotic,4.95,2.31,10.22,10.20,13,Yes
1745,monoprotic,3.57,2.38,10.20,10.19,12,Yes
1746,monoprotic,3.78,2.26,8.72,8.77,18,Yes
1747,diprotic,"[3.0532752088734805, 5.138269131494731]",2.38,3.82,3.76,6,Yes
1748,monoprotic,4.31,2.28,9.61,9.52,17,Yes
1749,diprotic,"[2.022315737823879, 5.805367850148647]",1.87,6.31,6.25,7,Yes
1750,diprotic,"[2.6750098371090534, 5.453806430726823]",2.89,5.43,5.34,28,Yes
1751,diprotic,"[3.3508176694615153, 6.604759669993547]",2.16,4.51,4.48,4,Yes
